Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.42     0.00       57     0.00     0.00  std::remove_reference<unsigned long&>::type&& std::move<unsigned long&>(unsigned long&)
  0.00      0.42     0.00       40     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, int> >::~_Rb_tree_node()
  0.00      0.42     0.00       40     0.00     0.00  std::_Rb_tree_node<std::pair<int const, std::string> >::~_Rb_tree_node()
  0.00      0.42     0.00       40     0.00     0.00  std::pair<std::string const, int>::~pair()
  0.00      0.42     0.00       40     0.00     0.00  std::pair<int const, std::string>::~pair()
  0.00      0.42     0.00       40     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_get_Node_allocator()
  0.00      0.42     0.00       40     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_get_Node_allocator()
  0.00      0.42     0.00       38     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt13_Rb_tree_nodeISt4pairIKSsiEEE9constructIS5_IRKS4_EEEvPT_DpOT0_
  0.00      0.42     0.00       38     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt13_Rb_tree_nodeISt4pairIKiSsEEE9constructIS5_JRKS4_EEEvPT_DpOT0_
  0.00      0.42     0.00       38     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  0.00      0.42     0.00       38     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::~_Deque_base()
  0.00      0.42     0.00       38     0.00     0.00  _ZNSt13_Rb_tree_nodeISt4pairIKSsiEEC2IJRKS2_EEEDpOT_
  0.00      0.42     0.00       38     0.00     0.00  std::_Rb_tree_node<std::pair<int const, std::string> >::_Rb_tree_node<std::pair<int const, std::string> const&>(std::pair<int const, std::string> const&)
  0.00      0.42     0.00       38     0.00     0.00  std::_Rb_tree_node_base::_S_maximum(std::_Rb_tree_node_base*)
  0.00      0.42     0.00       38     0.00     0.00  std::_Rb_tree_node_base::_S_minimum(std::_Rb_tree_node_base*)
  0.00      0.42     0.00       38     0.00     0.00  std::pair<std::string const, int>::pair(std::pair<std::string const, int> const&)
  0.00      0.42     0.00       38     0.00     0.00  std::pair<int const, std::string>::pair(std::pair<int const, std::string> const&)
  0.00      0.42     0.00       38     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.42     0.00       38     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_clone_node(std::_Rb_tree_node<std::pair<std::string const, int> > const*)
  0.00      0.42     0.00       38     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, int> >* std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_create_node<std::pair<std::string const, int> const&>(std::pair<std::string const, int> const&)
  0.00      0.42     0.00       38     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_clone_node(std::_Rb_tree_node<std::pair<int const, std::string> > const*)
  0.00      0.42     0.00       38     0.00     0.00  _ZNSt8_Rb_treeIiSt4pairIKiSsESt10_Select1stIS2_ESt4lessIiESaIS2_EE14_M_create_nodeIJRKS2_EEEPSt13_Rb_tree_nodeIS2_EDpOT_
  0.00      0.42     0.00       38     0.00     0.00  std::remove_reference<std::deque<int, std::allocator<int> >&>::type&& std::move<std::deque<int, std::allocator<int> >&>(std::deque<int, std::allocator<int> >&)
  0.00      0.42     0.00       38     0.00     0.00  void std::swap<std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int&, int*>&, std::_Deque_iterator<int, int&, int*>&)
  0.00      0.42     0.00       37     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.00      0.42     0.00       36     0.00     0.00  BinaryTree::deallocateMemory(float**, int)
  0.00      0.42     0.00       36     0.00     0.00  BinaryTree::BinaryTree()
  0.00      0.42     0.00       36     0.00     0.00  BinaryTree::~BinaryTree()
  0.00      0.42     0.00       36     0.00     0.00  NominalFeature::getName() const
  0.00      0.42     0.00       23     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_end()
  0.00      0.42     0.00       23     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_end()
  0.00      0.42     0.00       19     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
  0.00      0.42     0.00       19     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl(std::allocator<int>&&)
  0.00      0.42     0.00       19     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.42     0.00       19     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_base()
  0.00      0.42     0.00       19     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_base(std::_Deque_base<int, std::allocator<int> >&&)
  0.00      0.42     0.00       19     0.00     0.00  std::_Vector_base<NominalFeature, std::allocator<NominalFeature> >::_Vector_impl::_Vector_impl()
